AZN.L,SHEL.L,ULVR.L,HSBA.L,RIO.L,DGE.L,BP.L,BATS.L,GLEN.L,GSK.L,REL.L,AAL.L,RKT.L,LSEG.L,NG.L,CPG.L,LLOY.L,PRU.L,EXPN.L,NWG.L,BA.L,VOD.L,BARC.L,CRH.L,AHT.L,FLTR.L,IMB.L,SSE.L,STAN.L,TSCO.L
5165.2861328125,2291.918212890625,4536.5244140625,745.7892456054688,3583.20361328125,2561.75830078125,485.8954162597656,4843.91796875,374.1544494628906,1538.1966552734375,1692.122802734375,1416.889404296875,6840.64794921875,3906.154541015625,933.3806762695312,1617.216552734375,66.61920166015625,1522.1124267578125,1553.3612060546875,299.718017578125,613.7789306640625,216.5476531982422,192.21002197265625,2716.433837890625,1872.0113525390625,7616.6416015625,3146.817626953125,1381.2960205078125,728.0050659179688,236.04360961914062
5164.28759765625,2303.376708984375,4287.68017578125,740.4073486328125,3584.697021484375,2566.25,490.02764892578125,4801.6513671875,377.1005859375,1540.70458984375,1694.1197509765625,1419.8660888671875,6773.80908203125,3864.30224609375,933.48046875,1604.230712890625,66.77869415283203,1518.390869140625,1560.35400390625,300.6841125488281,598.4078369140625,216.79739379882812,191.5615234375,2739.37890625,1882.99951171875,7646.14404296875,3127.93212890625,1386.2757568359375,720.498779296875,236.2959442138672
5151.31494140625,2305.37109375,4150.04443359375,746.0881958007812,3584.19921875,2562.75634765625,489.77874755859375,4823.03271484375,377.69976806640625,1528.1661376953125,1688.129638671875,1420.85791015625,6594.23828125,3835.40478515625,924.4931640625,1582.2552490234375,66.78865051269531,1543.614501953125,1564.3494873046875,303.04571533203125,594.9170532226562,216.59762573242188,195.25306701660156,2783.27294921875,1877.006103515625,7621.55859375,3120.974365234375,1380.300048828125,743.0172729492188,238.2508544921875
5129.3603515625,2304.87255859375,4110.1484375,741.00537109375,3570.2607421875,2574.235107421875,488.8327941894531,4840.43798828125,379.2477111816406,1524.1541748046875,1688.129638671875,1432.7647705078125,6584.26318359375,3831.418701171875,933.8799438476562,1582.2552490234375,66.78865051269531,1558.91455078125,1565.3485107421875,300.03997802734375,597.9092407226562,215.94837951660156,195.00364685058594,2811.205078125,1883.99853515625,7587.138671875,3134.392333984375,1391.2550048828125,738.783203125,236.485107421875
5068.48583984375,2334.766845703125,4102.17138671875,744.294189453125,3574.243408203125,2560.760498046875,494.1098937988281,4798.66650390625,384.6905212402344,1517.1324462890625,1699.1109619140625,1434.2530517578125,6584.26318359375,3812.486083984375,921.8968505859375,1576.2615966796875,67.18740844726562,1539.4796142578125,1553.3612060546875,301.65020751953125,597.4105834960938,215.94837951660156,197.5478057861328,2831.156982421875,1903.9771728515625,7380.61865234375,3109.5439453125,1379.30419921875,753.795654296875,235.6022186279297
5064.494140625,2303.875244140625,4077.735595703125,739.410888671875,3481.15380859375,2534.80810546875,485.64654541015625,4817.0654296875,375.8022766113281,1433.376708984375,1681.1416015625,1403.9903564453125,6564.3095703125,3766.6484375,901.8251953125,1574.263671875,67.7257080078125,1525.420654296875,1538.377197265625,300.6841125488281,586.9383544921875,213.3513946533203,196.5501251220703,2793.248291015625,1923.9561767578125,7370.78466796875,3105.070556640625,1342.4561767578125,730.9881591796875,234.0256805419922
5039.5458984375,2299.89013671875,4213.876953125,744.3939819335938,3549.850830078125,2560.260986328125,487.8869323730469,4938.8974609375,378.2490539550781,1384.2266845703125,1730.058349609375,1420.3621826171875,6624.1669921875,3776.612548828125,906.4187622070312,1598.237548828125,68.71256256103516,1546.9229736328125,1553.3612060546875,301.65020751953125,585.4423828125,214.8995819091797,181.98345947265625,2845.123291015625,1945.9327392578125,7434.70703125,3129.4228515625,1362.3740234375,732.7203979492188,234.78244018554688
5011.60400390625,2318.82421875,4219.361328125,745.7892456054688,3538.899169921875,2603.181396484375,495.7528076171875,4994.5908203125,366.7143249511719,1370.685546875,1728.0618896484375,1407.4632568359375,6828.67822265625,3780.599365234375,915.7056274414062,1636.195556640625,68.69264221191406,1540.3065185546875,1596.31591796875,306.802978515625,589.431640625,215.3490753173828,183.3802490234375,2854.101318359375,1939.9393310546875,7424.873046875,3156.755859375,1365.3616943359375,725.3104858398438,233.96253967285156
5012.60205078125,2337.75732421875,4197.41943359375,734.5271606445312,3548.357421875,2582.71923828125,499.4368591308594,4890.16455078125,369.5106201171875,1376.70361328125,1729.06005859375,1402.502197265625,6769.8173828125,3746.71875,903.5228271484375,1644.186767578125,67.85527801513672,1527.9014892578125,1584.3287353515625,305.08544921875,593.4210205078125,215.89840698242188,183.0809326171875,2818.1884765625,1937.9412841796875,7478.96142578125,3121.470947265625,1373.3291015625,722.7120361328125,229.42202758789062
5021.5830078125,2357.188232421875,4258.2587890625,731.8361206054688,3532.92578125,2567.248046875,507.999755859375,4844.416015625,362.51983642578125,1361.657958984375,1730.058349609375,1408.95166015625,6718.939453125,3747.71533203125,904.72119140625,1651.1790771484375,68.07460021972656,1531.623046875,1584.3287353515625,303.260498046875,591.9249267578125,215.3490753173828,185.5253448486328,2827.166748046875,1937.9412841796875,7577.30419921875,3051.895751953125,1376.316650390625,722.1348266601562,228.79144287109375
